faa,name,lat,lon
TUS,TUS Airport,32.1161003112793,-110.94100189208984
TUL,TUL Airport,36.19839859008789,-95.88809967041016
TPA,TPA Airport,27.975500106811523,-82.533203125
GRR,GRR Airport,42.88079834,-85.52279663
DSM,DSM Airport,41.53400039672852,-93.66310119628906
PDX,PDX Airport,45.58869934,-122.5979996
MOB,MOB Airport,30.691200256348,-88.242797851562
SLC,SLC Airport,40.78839874267578,-111.97799682617188
PWM,PWM Airport,43.64619827,-70.30930328
BFL,BFL Airport,35.43360138,-119.0569992
ALO,ALO Airport,42.55709838867188,-92.40029907226562
HYA,HYA Airport,41.66930008,-70.28040314
RHI,RHI Airport,45.63119888305664,-89.46749877929688
BQK,BQK Airport,31.2588005065918,-81.46649932861328
BGM,BGM Airport,42.20869827,-75.97979736
PBG,PBG Airport,44.6509017944336,-73.46810150146484
SHD,SHD Airport,38.2638015747,-78.8964004517
TYS,TYS Airport,35.81100082,-83.9940033
FAY,FAY Airport,34.9911994934082,-78.88030242919922
EYW,EYW Airport,24.556100845336918,-81.75959777832031
SCE,SCE Airport,40.8493003845,-77.84870147710001
GSP,GSP Airport,34.8956985474,-82.2189025879
SFO,SFO Airport,37.61899948120117,-122.375
EVV,EVV Airport,38.0369987488,-87.5324020386
OGG,OGG Airport,20.8986,-156.429993
OAJ,OAJ Airport,34.8292007446,-77.61209869380001
CRW,CRW Airport,38.37310028076172,-81.59320068359375
FNT,FNT Airport,42.96540069580078,-83.74359893798828
GRK,GRK Airport,31.067199707,-97.8289031982
DRT,DRT Airport,29.3742008209,-100.927001953
KOA,KOA Airport,19.738783,-156.045603
MTJ,MTJ Airport,38.5097999573,-107.893997192
SCC,SCC Airport,70.19470215,-148.4649963
CDC,CDC Airport,37.70100021362305,-113.0989990234375
WYS,WYS Airport,44.68840027,-111.1179962
XWA,XWA Airport,48.258333,-103.748611
IAG,IAG Airport,43.1072998046875,-78.94619750976562
PAH,PAH Airport,37.06079864501953,-88.7738037109375
LAR,LAR Airport,41.31209945678711,-105.6750030517578
DIK,DIK Airport,46.7974014282,-102.802001953
DVL,DVL Airport,48.11420059,-98.90879822
VEL,VEL Airport,40.4408989,-109.5100021
STT,STT Airport,18.337299346923828,-64.97339630126953
SAN,SAN Airport,32.7336006165,-117.190002441
SGF,SGF Airport,37.24570084,-93.38860321
PHF,PHF Airport,37.13190079,-76.49299622
SBP,SBP Airport,35.2368011475,-120.641998291
GSO,GSO Airport,36.097801208496094,-79.93730163574219
ACT,ACT Airport,31.611299514770508,-97.23049926757812
BIL,BIL Airport,45.80770111083984,-108.54299926757812
SJU,SJU Airport,18.4393997192,-66.0018005371
EGE,EGE Airport,39.64260101,-106.9179993
